"id";"sex";"affiliated";"time_secs"
3784;"m";1;869.4
3529;"m";1;874.3
1714;"m";0;876.3
3610;"m";1;881.4
20325;"m";1;903.8
1929;"m";1;926.8
2795;"m";1;926.9
1;"f";1;944.7
3943;"m";0;947.5
2985;"m";1;948.3
3525;"m";1;948.7
3945;"m";1;952.9
4279;"m";1;956
4021;"m";1;960.8
3481;"m";0;960.8
20537;"f";1;962.1
3522;"m";1;963.9
3565;"m";1;967.6
4195;"m";1;968.2
2988;"m";1;972.1
6340;"m";1;973
2402;"m";1;980.4
2091;"m";1;980.6
3390;"m";0;980.9
3682;"m";1;985
4484;"m";1;986.2
5080;"m";0;986.3
2894;"m";1;988.6
2827;"m";1;989.2
4782;"m";1;989.4
2490;"m";0;990.5
3416;"m";1;995
23298;"m";0;996.1
5927;"m";1;997.6
3415;"m";1;1000.7
2930;"m";0;1002.6
1670;"m";1;1002.8
14898;NA;0;1004.8
2543;"m";1;1005.4
2361;"m";1;1009.4
5581;"m";0;1010.1
6834;"m";1;1010.5
3935;"m";0;1012.7
4679;"m";1;1013.5
1708;"m";1;1015.7
3594;"m";1;1016.5
3346;"m";1;1016.7
6945;"m";1;1017.2
2488;"m";0;1017.5
2466;"m";1;1017.7
4364;"m";1;1017.9
5653;"m";1;1018
4250;"m";1;1019.1
3941;"m";1;1020.8
3317;"m";0;1021.1
5637;"m";1;1021.5
4211;"m";1;1021.9
2987;"m";0;1023
4149;"m";1;1023.5
3487;"m";1;1023.9
10013;"m";1;1025.7
5393;"m";1;1027.8
4218;"m";0;1027.8
8898;"m";1;1029.5
3414;"m";1;1029.9
5073;"m";1;1031.1
4704;"m";1;1031.2
2448;"m";1;1031.8
3772;"m";1;1032.5
2623;"m";0;1032.8
2913;"m";0;1032.8
2035;"m";1;1034.9
2589;"m";1;1036
5435;"m";1;1036.9
5648;"m";0;1038.1
5652;"m";1;1038.2
5507;"m";1;1038.5
2693;"m";1;1038.6
5457;"m";1;1038.8
2016;"m";0;1038.8
2891;"m";0;1041.2
6504;"m";1;1041.6
5317;"m";1;1042.5
3854;"m";0;1043.1
3456;"m";1;1044.4
6927;"m";1;1045.1
5061;"m";1;1045.1
3974;"m";0;1045.2
3025;"m";1;1045.3
2202;"m";1;1045.8
3707;"m";1;1048
6019;"m";1;1048.1
6832;"m";1;1048.2
3899;"m";0;1048.6
5202;"m";0;1050.4
5093;"m";1;1050.5
3912;"m";1;1050.9
4677;"m";1;1051.7
2033;"m";1;1052.2
11806;"m";1;1052.6
4780;"m";1;1052.6
4753;"m";1;1052.9
3021;"m";0;1054.5
2941;"m";1;1054.7
7073;"m";0;1054.8
5057;"m";1;1055.1
6159;"m";1;1055.5
2826;"m";1;1056.3
4121;"m";1;1056.4
2975;"m";1;1058.3
4102;"m";0;1058.6
3940;"m";1;1059.1
9348;"m";1;1059.3
2458;"m";0;1060.2
3902;"m";1;1060.7
7288;"m";0;1064.6
9179;"m";0;1064.7
2096;"m";0;1064.8
3716;"m";1;1065.1
3755;"m";1;1066.3
2535;"m";1;1066.5
4037;"m";1;1067.6
14332;"m";1;1069.3
7493;"m";1;1070.1
3763;"m";1;1070.7
3428;"m";1;1071
5362;"m";0;1071.1
3057;"m";1;1071.2
5750;"m";1;1071.6
3521;"m";1;1071.9
4030;"m";0;1072.4
12276;"f";0;1072.8
3602;"m";1;1073.4
5524;"m";1;1073.8
6480;"m";1;1074.9
5331;"m";1;1075.1
2143;"f";0;1075.1
2937;"f";1;1075.8
18477;"f";0;1075.9
6658;"m";0;1077.2
4031;"m";1;1077.4
2394;"f";1;1077.7
5062;"m";1;1077.9
5643;"m";1;1078.9
6074;"m";1;1079.2
